cas_number,chemical_name,tsca_listed,cercla_rq_lbs,rcra_waste_code,rcra_characteristic,epcra_tpq_lbs
78-82-0,Isobutyronitrile,yes,,,,1000
78-83-1,Isobutanol,yes,5000,U140,,
78-84-2,Isobutyraldehyde,yes,,,,
78-87-5,1-2-Dichloropropane,yes,1000,U083,,
78-88-6,"2,3-Dichloropropene",yes,100,,,
78-92-2,sec-Butanol,yes,,,,
78-93-3,Methyl ethyl ketone,yes,5000,U159,,
78-94-4,Methyl vinyl ketone,yes,,,,10
78-97-7,Lactonitrile,yes,1000,P069,,1000
78-99-9,"1,1-Dichloropropane",yes,1000,,,
79-00-5,1-1-2-Trichloroethane,yes,100,U227,,
79-01-6,Trichloroethylene,yes,100,U228,,
79-06-1,Acrylamide,yes,5000,U007,,5000
79-09-4,Propionic acid,yes,5000,,,
79-10-7,Acrylic acid,yes,5000,U008,,
79-11-8,Chloroacetic acid,yes,100,,,100
79-19-6,Thiosemicarbazide,yes,100,P116,,100
79-20-9,Methyl acetate,yes,,,,
79-21-0,Peracetic acid,yes,500,,,500
79-22-1,"Carbonochloridic acid, methylester",yes,1000,U156,,500
79-31-2,iso-Butyric acid,yes,5000,,,
79-34-5,1-1-2-2-Tetrachloroethane,yes,100,U209,,
79-36-7,Dichloroacetyl chloride,yes,,,,
79-38-9,"Ethene, chlorotrifluoro-",yes,,,,
79-43-6,Dichloroacetic acid,yes,,,,
79-44-7,Dimethylcarbamoyl chloride,yes,1,U097,,
79-46-9,2-Nitropropane,yes,10,U171,,
79-94-7,Tetrabromobisphenol A,yes,,,,
80-05-7,"4,4'-Isopropylidenediphenol",yes,,,,
80-15-9,Cumene hydroperoxide,yes,10,U096,,
80-62-6,Methyl methacrylate,yes,1000,U162,,
80-63-7,Methyl 2-chloroacrylate,yes,,,,500
81-07-2,Saccharin (manufacturing),yes,100,U202,,
81-49-2,"1-Amino-2,4-dibromoanthraquinone",yes,,,,
81-81-2,Warfarin,yes,100,P001,,500
81-88-9,C.I. Food Red 15,yes,,,,
82-28-0,1-Amino-2-methylanthraquinone,yes,,,,
82-66-6,Diphacinone,yes,,,,10
82-68-8,PCNB,yes,100,U185,,
83-32-9,Acenaphthylene,yes,5000,,,
84-66-2,Diethyl phthalate,yes,5000,U088,,
84-74-2,Dibutyl phthalate,yes,10,U069,,
85-00-7,Diquat,yes,1000,,,
85-01-8,Phenanthrene,yes,5000,,,
85-44-9,Phthalic anhydride,yes,5000,U190,,
85-68-7,Butyl benzyl phthalate,yes,100,,,
86-30-6,N-Nitrosodiphenylamine,yes,100,U111,,
86-50-0,Azinphos-methyl,yes,1,,,10
86-73-7,Fluorene,yes,5000,U120,,
86-88-4,ANTU,yes,100,P072,,500
87-61-6,1-2-3-Trichlorobenzene,yes,,,,
87-62-7,"2,6-Xylidine",yes,,,,
87-65-0,2-6-Dichlorophenol,yes,100,U082,,
87-68-3,Hexachlorobutadiene,yes,1,U128,,
87-86-5,Pentachlorophenol,yes,10,F027,,
88-05-1,"Aniline, 2,4,6-trimethyl-",yes,,,,500
88-06-2,2-4-6-Trichlorophenol,yes,10,U230,,
88-72-2,o-Nitrotoluene,yes,1000,,,
88-75-5,2-Nitrophenol,yes,100,,,
88-85-7,Dinitrobutyl phenol,yes,1000,P020,,100
88-89-1,Picric acid,yes,,,,
90-04-0,o-Anisidine,yes,100,,,
90-12-0,1-Methylnaphthalene,yes,,,,
90-13-1,1-Chloronaphthalene,yes,5000,,,
90-43-7,2-Phenylphenol,yes,,,,
90-94-8,Michler's ketone,yes,,,,
91-08-7,2-6-Toluene diisocyanate,yes,100,,,500
91-20-3,Naphthalene,yes,100,U165,,
91-22-5,Quinoline,yes,5000,U236,,
91-23-6,o-Nitroanisole,yes,,,,
91-57-6,2-Methylnaphthalene,yes,,,,
91-58-7,2-Chloronaphthalene,yes,5000,U047,,
91-59-8,2-Naphthylamine,yes,10,U168,,
91-66-7,"N,N-Diethylaniline",yes,1000,,,
91-80-5,Methapyrilene,yes,5000,U155,,
91-93-0,"3,3'-Dimethoxybenzidine-4,4'- diisocyanate",yes,,,,
91-94-1,3-3-Dichlorobenzidine,yes,1,U073,,
91-97-4,"3,3'-Dimethyl-4,4'-diphenylene diisocyanate",yes,,,,
92-52-4,Biphenyl,yes,100,,,
92-67-1,4-Aminobiphenyl,yes,1,,,
92-87-5,Benzidine,yes,1,U021,,
92-93-3,4-Nitrobiphenyl,yes,10,,,
93-15-2,Methyleugenol,yes,,,,
93-65-2,Mecoprop,yes,,,,
93-72-1,Silvex (2-4-5-TP),yes,100,,,
93-76-5,2-4-5-T,yes,1000,,,
93-79-8,"2,4,5-T esters",yes,1000,,,
94-11-1,"2,4-D Esters",yes,100,,,
94-36-0,Benzoyl peroxide,yes,,,,
94-58-6,Dihydrosafrole,yes,10,U090,,
94-59-7,Safrole,yes,100,U203,,
94-74-6,MCPA,yes,,,,
94-75-7,2-4-D,yes,100,U240,,
94-79-1,"2,4-D Esters",yes,100,,,
94-80-4,"2,4-D butyl ester",yes,100,,,
94-82-6,"2,4-DB",yes,,,,
95-47-6,"Benzene, o-dimethyl-",yes,1000,U239,,
95-48-7,o-Cresol,yes,100,U052,,1000
95-50-1,o-Dichlorobenzene,yes,100,U070,,
95-53-4,o-Toluidine,yes,100,U328,,
95-54-5,"1,2-Phenylenediamine",yes,,,,
95-57-8,2-Chlorophenol,yes,100,U048,,
