cas_number,chemical_name,tsca_listed,cercla_rq_lbs,rcra_waste_code,rcra_characteristic,epcra_tpq_lbs
3761-53-3,C.I. Food Red 5,yes,,,,
3813-14-7,"2,4,5-T amines",yes,5000,,,
3825-26-1,Ammonium perfluorooctanoate,yes,,,,
3830-45-3,Sodium perfluorodecanoate (PFDA-Na),yes,,,,
3871-99-6,"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, potassium salt",yes,,,,
3872-25-1,"1-Pentanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-, potassium salt",yes,,,,
3878-19-1,Fuberidazole,yes,,,,100
4044-65-9,Bitoscanate,yes,,,,500
4080-31-3,"1-(3-Chloroallyl)-3,5,7-triaza-1- azoniaadamantane chloride",yes,,,,
4098-71-9,Isophorone diisocyanate,yes,,,,500
4104-14-7,Phosacetim,yes,,,,100
4109-96-0,Dichlorosilane,yes,,,,
4128-73-8,"4,4'-Diisocyanatodiphenyl ether",yes,,,,
4151-50-2,Sulfluramid,yes,,,,
4170-30-3,2-Butenal,yes,100,U053,,1000
4301-50-2,Fluenetil,yes,,,,100
4418-66-0,"Phenol, 2,2'-thiobis[4-chloro-6-methyl-",yes,,,,100
4549-40-0,N-Nitrosomethylvinylamine,yes,10,P084,,
4680-78-8,C.I. Acid Green 3,yes,,,,
4835-11-4,"Hexamethylenediamine, N,N'-dibutyl-",yes,,,,500
4980-53-4,"2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11, 12,12,13,13,14,14,15,15,16,16,16- nonacosafluorohexadecyl ester",yes,,,,
5064-31-3,Nitrilotriacetic acid trisodium salt,yes,,,,
5103-71-9,"Chlordane, alpha isomer",yes,1,U036,,1000
5103-74-2,"Chlordane, gamma isomer",yes,1,U036,,1000
5124-30-1,Methylene bis(4-cyclohexylisocyanate),yes,,,,
5234-68-4,Carboxin,yes,,,,
5344-82-1,"Thiourea, (2-chlorophenyl)-",yes,100,P026,,100
5385-75-1,"Dibenzo[a,e]fluoranthene",yes,,,,
5522-43-0,1-Nitropyrene,yes,,,,
5598-13-0,Chlorpyrifos-methyl,yes,,,,
5836-29-3,Coumatetralyl,yes,,,,500
5902-51-2,Terbacil,yes,,,,
5952-26-1,"Ethanol, 2,2'-oxybis-, dicarbamate",yes,5000,U395,,
5972-73-6,Ammonium oxalate,yes,5000,,,
6009-70-7,Ammonium oxalate,yes,5000,,,
6014-75-1,"2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11, 12,12,13,13,14,14,14- pentacosafluorotetradecyl ester",yes,,,,
6369-96-6,"2,4,5-T amines",yes,5000,,,
6369-97-7,"2,4,5-T amines",yes,5000,,,
6459-94-5,C.I. Acid Red 114,yes,,,,
6533-73-9,Thallium(I) carbonate,yes,100,U215,,100
6923-22-4,Monocrotophos,yes,,,,10
7005-72-3,4-Chlorophenyl phenyl ether,yes,5000,,,
7287-19-6,Prometryn,yes,,,,
7311-27-5,"Ethanol, 2-[2-[2-[2-(4- nonylphenoxy)ethoxy]ethoxy]ethoxy]-",yes,,,,
7421-93-4,Endrin aldehyde,yes,1,,,
7428-48-0,Lead stearate,yes,10,,,
7429-90-5,Aluminum,yes,,,,
7439-89-6,Iron,yes,,,,
7439-92-1,Lead,yes,10,,,
7439-96-5,Manganese,yes,,,,
7439-97-6,Mercury,yes,1,U151,,
7440-02-0,Nickel compounds,yes,100,,,
7440-22-4,Silver,yes,1000,,,
7440-23-5,Sodium,yes,10,,,
7440-28-0,Thallium,yes,1000,U204,,100
7440-31-5,Tin,yes,,,,
7440-36-0,Antimony,yes,5000,,,
7440-38-2,Arsenic,yes,1,,,
7440-39-3,Barium compounds,yes,,,,
7440-41-7,Beryllium,yes,10,P015,,
7440-43-9,Cadmium,yes,10,,,
7440-47-3,Chromium,yes,5000,,,
7440-48-4,Cobalt compounds,yes,,,,
7440-50-8,Copper compounds,yes,5000,,,
7440-62-2,Vanadium,yes,,,,
7440-66-6,Zinc compounds,yes,1000,,,
7446-08-4,Selenium dioxide,yes,10,,,
7446-09-5,Sulfur dioxide,yes,,,,500
7446-11-9,Sulfur trioxide,yes,,,,100
7446-14-2,Lead sulfate,yes,10,,,
7446-18-6,Thallium(I) sulfate,yes,100,P115,,100
7446-27-7,Lead phosphate,yes,10,U145,,
7447-39-4,Cupric chloride,yes,10,,,
7487-94-7,Mercuric chloride,yes,1,U151,,500
7488-56-4,Selenium sulfide,yes,10,U205,,
7496-02-8,6-Nitrochrysene,yes,,,,
7550-45-0,Titanium tetrachloride,yes,1000,,,100
7553-56-2,Iodine,yes,,,,
7558-79-4,"Sodium phosphate, dibasic",yes,5000,,,
7580-67-8,Lithium hydride,yes,,,,100
7601-54-9,"Sodium phosphate, tribasic",yes,5000,,,
7631-86-9,Silica (amorphous),yes,,,,
7631-89-2,Sodium arsenate,yes,1,,,1000
7631-90-5,Sodium bisulfite,yes,5000,,,
7632-00-0,Sodium nitrite,yes,100,,,
7637-07-2,Boron trifluoride,yes,,,,500
7645-25-2,Lead arsenate,yes,1,,,
7646-85-7,Zinc chloride,yes,1000,,,
7647-01-0,Hydrochloric acid,yes,5000,,,500
7647-18-9,Antimony pentachloride,yes,1000,,,
7664-38-2,Phosphoric acid,yes,5000,,,
7664-39-3,Hydrogen fluoride,yes,100,U134,,100
7664-41-7,Ammonia,yes,100,,,500
7664-93-9,Sulfuric acid,yes,1000,,,1000
7681-49-4,Sodium fluoride,yes,1000,,,
7681-52-9,Sodium hypochlorite,yes,100,,,
7696-12-0,Tetramethrin,yes,,,,
7697-37-2,Nitric acid,yes,1000,,,1000
7699-45-8,Zinc bromide,yes,1000,,,
7705-08-0,Ferric chloride,yes,1000,,,
7718-54-9,Nickel chloride,yes,100,,,
7719-12-2,Phosphorus trichloride,yes,1000,,,1000
7720-78-7,Ferrous sulfate,yes,1000,,,
7722-64-7,Potassium permanganate,yes,100,,,
7722-84-1,Hydrogen peroxide,yes,,,D001,1000
7723-14-0,Phosphorus (yellow),yes,1,P048,,100
7726-95-6,Bromine,yes,,,,500
7727-43-7,Barium sulfate,yes,,,,
7733-02-0,Zinc sulfate,yes,1000,,,
7738-94-5,Chromic acid,yes,10,,D007,
7758-01-2,Potassium bromate,yes,,,,
7758-94-3,Ferrous chloride,yes,100,,,
7758-95-4,Lead chloride,yes,10,,,
7758-97-6,Lead chromate,yes,,,,
7758-98-7,Cupric sulfate,yes,10,,,
7761-88-8,Silver nitrate,yes,1,,,
7773-06-0,Ammonium sulfamate,yes,5000,,,
7775-11-3,Sodium chromate,yes,10,,D007,
7778-39-4,Arsenic acid,yes,1,P010,,1000
7778-44-1,Calcium arsenate,yes,1,,,500
7778-50-9,Potassium dichromate,yes,10,,D007,
7778-54-3,Calcium hypochlorite,yes,10,,,
7779-86-4,Zinc hydrosulfite,yes,1000,,,
7779-88-6,Zinc nitrate,yes,1000,,,
7782-41-4,Fluorine,yes,10,P056,,500
7782-49-2,Selenium,yes,100,,,
7782-50-5,Chlorine,yes,10,,,100
7782-63-0,Ferrous sulfate,yes,1000,,,
7782-82-3,Sodium selenite,yes,100,,,
7782-86-7,Mercurous nitrate,yes,10,,,
7783-00-8,Selenious acid,yes,10,U204,,1000
7783-06-4,Hydrogen sulfide,yes,100,U135,,500
7783-07-5,Hydrogen selenide,yes,,,,10
7783-35-9,Mercuric sulfate,yes,10,,,
7783-46-2,Lead fluoride,yes,10,,,
7783-49-5,Zinc fluoride,yes,1000,,,
7783-50-8,Ferric fluoride,yes,100,,,
7783-56-4,Antimony trifluoride,yes,1000,,,
7783-60-0,"Sulfur fluoride (SF4), (T-4)-",yes,,,,100
7783-70-2,Antimony pentafluoride,yes,,,,500
7783-80-4,Tellurium hexafluoride,yes,,,,100
7784-34-1,Arsenic trichloride,yes,1,,,500
7784-40-9,Lead arsenate,yes,1,,,
7784-41-0,Potassium arsenate,yes,1,,,
7784-42-1,Arsine,yes,1,P042,,100
7784-46-5,Sodium arsenite,yes,1,,,500
7786-34-7,Mevinphos,yes,10,,,500
7786-81-4,Nickel sulfate,yes,100,,,
7787-32-8,Barium fluoride,yes,,,,
7787-47-5,Beryllium chloride,yes,1,,,
7787-49-7,Beryllium fluoride,yes,1,,,
7787-55-5,Beryllium nitrate,yes,1,,,
7788-98-9,Ammonium chromate,yes,10,,,
7789-00-6,Potassium chromate,yes,10,,D007,
7789-06-2,Strontium chromate,yes,10,,,
7789-09-5,Ammonium bichromate,yes,10,,,
7789-30-2,Bromine pentafluoride,yes,,,,500
7789-42-6,Cadmium bromide,yes,10,,,
7789-43-7,Cobalt bromide,yes,1000,,,
7789-61-9,Antimony tribromide,yes,1000,,,
7790-91-2,Chlorine trifluoride,yes,,,,500
7790-94-5,Chlorosulfonic acid,yes,1000,,,
7791-12-0,Thallous chloride,yes,100,U216,,100
7791-21-1,Chlorine monoxide,yes,,,,
7791-23-3,Selenium oxychloride,yes,,,,500
7803-51-2,Phosphine,yes,100,P096,,500
7803-55-6,Ammonium vanadate,yes,1000,P119,,
7803-62-5,Silane,yes,,,,
8001-35-2,Toxaphene,yes,1,P123,,500
8001-58-9,Creosote,yes,,,,
8003-19-8,Dichloropropane - Dichloropropene (mixture),yes,100,,,
8003-34-7,Pyrethrins,yes,1,,,
8014-95-7,Oleum (fuming sulfuric acid),yes,1000,,,
8065-48-3,Demeton,yes,,,,500
9006-42-2,Metiram,yes,,,,
9016-45-9,"Poly(oxy-1,2-ethanediyl), α- (nonylphenyl)-ω-hydroxy-",yes,,,,
9016-87-9,Polymeric diphenylmethane diisocyanate,yes,,,,
10022-70-5,Sodium hypochlorite,yes,100,,,
10025-67-9,Sulfur monochloride,yes,1000,,,
10025-73-7,Chromic chloride,yes,,,,1
10025-78-2,"Silane, trichloro-",yes,,,,
10025-87-3,Phosphorus oxychloride,yes,5000,,,1000
10025-91-9,Antimony trichloride,yes,1000,,,
10026-11-6,Zirconium tetrachloride,yes,5000,,,
10026-13-8,Phosphorus pentachloride,yes,,,,500
10028-15-6,Ozone,yes,,,,100
10028-22-5,Ferric sulfate,yes,1000,,,
10031-59-1,Thallium sulfate,yes,100,P115,,100
10034-93-2,Hydrazine sulfate (1:1),yes,,,,
10039-32-4,"Sodium phosphate, dibasic",yes,5000,,,
10043-01-3,Aluminum sulfate,yes,5000,,,
10045-89-3,Ferrous ammonium sulfate,yes,1000,,,
10045-94-0,Mercuric nitrate,yes,10,,,
10049-04-4,Chlorine dioxide,yes,,,,
10049-05-5,Chromous chloride,yes,1000,,,
10061-01-5,"cis-1,3-Dichloropropene",yes,,,,
10061-02-6,"trans-1,3-Dichloropropene",yes,,,,
10099-74-8,Lead nitrate,yes,10,,,
10101-53-8,Chromic sulfate,yes,1000,,,
10101-63-0,Lead iodide,yes,10,,,
10101-89-0,"Sodium phosphate, tribasic",yes,5000,,,
10102-06-4,Uranyl nitrate,yes,100,,,
10102-18-8,Sodium selenite,yes,100,,,100
10102-20-2,Sodium tellurite,yes,,,,500
10102-43-9,Nitric oxide,yes,10,P076,,100
10102-44-0,Nitrogen dioxide,yes,10,P078,,100
10102-45-1,Thallium(I) nitrate,yes,100,U217,,
10102-48-4,Lead arsenate,yes,1,,,
10108-64-2,Cadmium chloride,yes,10,,,
10124-36-4,Cadmium sulfate,yes,10,,,
10124-50-2,Potassium arsenite,yes,1,,,500
10140-65-5,"Sodium phosphate, dibasic",yes,5000,,,
10140-87-1,"Ethanol, 1,2-dichloro-, acetate",yes,,,,1000
10192-30-0,Ammonium bisulfite,yes,5000,,,
10196-04-0,Ammonium sulfite,yes,5000,,,
10210-68-1,Cobalt carbonyl,yes,,,,10
10222-01-2,"2,2-Dibromo-3-nitrilopropionamide",yes,,,,
10265-92-6,Methamidophos,yes,,,,100
10294-34-5,"Borane, trichloro-",yes,,,,500
10311-84-9,Dialifor,yes,,,,100
10347-54-3,"1,4-Bis(methylisocyanate)cyclohexane",yes,,,,
10361-37-2,Barium chloride,yes,,,,
10361-89-4,"Sodium phosphate, tribasic",yes,5000,,,
10380-29-7,"Cupric sulfate, ammoniated",yes,100,,,
10415-75-5,Mercurous nitrate,yes,10,,,
10421-48-4,Ferric nitrate,yes,1000,,,
10453-86-8,Resmethrin,yes,,,,
10476-95-6,Methacrolein diacetate,yes,,,,1000
10495-86-0,Ammonium perfluorobutanoate,yes,,,,
10544-72-6,Nitrogen dioxide,yes,,,,
10588-01-9,Sodium dichromate,yes,10,,D007,1000
10599-90-3,Chloramines,yes,,,,
10605-21-7,Carbendazim,yes,10,U372,,
11066-49-2,Isononylphenol,yes,,,,
11096-82-5,Aroclor 1260,yes,1,,,
11097-69-1,Aroclor 1254,yes,1,,,
11104-28-2,Aroclor 1221,yes,1,,,
11141-16-5,Aroclor 1232,yes,1,,,
12002-03-8,Cupric acetoarsenite,yes,1,,,500
12035-72-2,Nickel subsulfide,yes,,,,
12039-52-0,Thallium selenite,yes,1000,P114,,
12044-79-0,Arsenic disulfide,yes,1,,,
12054-48-7,Nickel hydroxide,yes,10,,,
12108-13-3,"Manganese, tricarbonyl methylcyclopentadienyl",yes,,,,100
12122-67-7,Zineb,yes,,,,
12125-01-8,Ammonium fluoride,yes,100,,,
12125-02-9,Ammonium chloride,yes,5000,,,
12135-76-1,Ammonium sulfide,yes,100,,,
12185-10-3,Phosphorus (yellow or white),yes,,,,
12427-38-2,Maneb,yes,,,,
12672-29-6,Aroclor 1248,yes,1,,,
12674-11-2,Aroclor 1016,yes,1,,,
12771-08-3,Sulfur monochloride,yes,1000,,,
13071-79-9,Terbufos,yes,,,,100
13171-21-6,Phosphamidon,yes,,,,100
13194-48-4,Ethoprop,yes,,,,1000
13252-13-6,Hexafluoropropylene oxide dimer acid,yes,,,,
13356-08-6,Fenbutatin oxide,yes,,,,
13410-01-0,Sodium selenate,yes,,,,100
13450-90-3,Gallium trichloride,yes,,,,500
13463-39-3,Nickel carbonyl,yes,10,P073,,1
13463-40-6,"Iron carbonyl (Fe(CO)5), (TB-5-11)-",yes,,,,100
13463-67-7,Titanium dioxide,yes,,,,
13474-88-9,"1,1-Dichloro-1,2,2,3,3- pentafluoropropane",yes,,,,
13560-99-1,"2,4,5-T salts",yes,1000,,,
13597-99-4,Beryllium nitrate,yes,1,,,
13674-87-8,"Tris(1,3-dichloro-2-propyl) phosphate",yes,,,,
13684-56-5,Desmedipham,yes,,,,
13746-89-9,Zirconium nitrate,yes,5000,,,
13765-19-0,Calcium chromate,yes,10,U032,,
13814-96-5,Lead fluoborate,yes,10,,,
13826-83-0,Ammonium fluoborate,yes,5000,,,
13952-84-6,sec-Butylamine,yes,1000,,,
14017-41-5,Cobaltous sulfamate,yes,1000,,,
14103-61-8,"Bis(3,5,5-trimethylhexyl) phthalate",yes,,,,
14167-18-1,Salcomine,yes,,,,500
14216-75-2,Nickel nitrate,yes,100,,,
14258-49-2,Ammonium oxalate,yes,5000,,,
14307-35-8,Lithium chromate,yes,10,,,
14307-43-8,Ammonium tartrate,yes,5000,,,
14484-64-1,Ferbam,yes,,,,
14639-97-5,Zinc ammonium chloride,yes,1000,,,
14639-98-6,Zinc ammonium chloride,yes,1000,,,
14644-61-2,Zirconium sulfate,yes,5000,,,
14808-60-7,Silica (crystalline),yes,,,,
15271-41-7,"Bicyclo[2.2.1]heptane-2-carbonitrile, 5- chloro-6- ((((methylamino)carbonyl)oxy)imino)-,(1- alpha,2-beta,4-alpha,5-alpha,6E))-",yes,,,,500
15339-36-3,"Manganese, bis(dimethylcarbamodithioato-S,S')-",yes,10,P196,,
15646-96-5,"2,4,4-Trimethylhexamethylene diisocyanate",yes,,,,
15699-18-0,Nickel ammonium sulfate,yes,100,,,
15739-80-7,Lead sulfate,yes,10,,,
15950-66-0,"2,3,4-Trichlorophenol",yes,10,,,
15972-60-8,Alachlor,yes,,,,
16071-86-6,C.I. Direct Brown 95,yes,,,,
16517-11-6,"Octadecanoic acid, pentatriacontafluoro-",yes,,,,
16543-55-8,N-Nitrosonornicotine,yes,,,,
16721-80-5,Sodium hydrosulfide,yes,5000,,,
16752-77-5,"Ethanimidothioic acid, N- [[methylamino)carbonyl]",yes,100,P066,,500
16871-71-9,Zinc silicofluoride,yes,5000,,,
16919-19-0,Ammonium silicofluoride,yes,1000,,,
16923-95-8,Zirconium potassium fluoride,yes,1000,,,
16938-22-0,"2,2,4-Trimethylhexamethylene diisocyanate",yes,,,,
17194-00-2,Barium hydroxide,yes,,,,
17202-41-4,"1-Nonanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9- nonadecafluoro-, ammonium salt",yes,,,,
17702-41-9,Decaborane,yes,,,,500
17702-57-7,Formparanate,yes,100,P197,,100
17741-60-5,"1,1,2,2-Tetrahydroperfluorododecyl acrylate",yes,,,,
17804-35-2,Benomyl,yes,10,U271,,
18540-29-9,Chromium(VI),yes,10,,,
18883-66-4,Streptozotocin,yes,1,U206,,
19044-88-3,Oryzalin,yes,,,,
19287-45-7,Diborane,yes,,P041,,100
19408-74-3,"1,2,3,7,8,9-hexachlorodibenzo-p-dioxin",yes,,,,
19624-22-7,Pentaborane,yes,,,,500
19666-30-9,Oxydiazon,yes,,,,
20325-40-0,"3,3'-Dimethoxybenzidine dihydrochloride",yes,,,,
20354-26-1,Methazole,yes,,,,
20427-84-3,"Ethanol, 2-[2-(4-nonylphenoxy)ethoxy]-",yes,,,,
20548-62-3,Bis(7-methyloctyl) phthalate,yes,,,,
20816-12-0,Osmium oxide OsO4 (T-4)-,yes,1000,P087,,
20830-75-5,Digoxin,yes,,,,10
20830-81-3,Daunomycin,yes,10,U059,,
20859-73-8,Aluminum phosphide,yes,100,P006,,500
21087-64-9,Metribuzin,yes,,,,
21548-32-3,Fosthietan,yes,,,,500
21609-90-5,Leptophos,yes,,,,500
21615-47-4,Ammonium perfluorohexanoate,yes,,,,
21652-58-4,Perfluorooctyl Ethylene,yes,,,,
21725-46-2,Cyanazine,yes,,,,
21908-53-2,Mercuric oxide,yes,,,,500
21923-23-9,Chlorthiophos,yes,,,,500
22224-92-6,Fenamiphos,yes,,,,10
22781-23-3,Bendiocarb,yes,100,U278,,
22961-82-6,Bendiocarb phenol,yes,1000,U364,,
23135-22-0,Oxamyl,yes,100,P194,,100
23422-53-9,Formetanate hydrochloride,yes,100,P198,,500
23505-41-1,Pirimifos-ethyl,yes,,,,1000
23564-05-8,Thiophanate-methyl,yes,10,U409,,
23564-06-9,Thiophanate-ethyl,yes,,,,
23950-58-5,"Benzamide, 3,5-dichloro-N-(1,1- dimethyl-2-propynyl",yes,5000,U192,,
24017-47-8,Triazofos,yes,,,,500
24448-09-7,"1-Octanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8- heptadecafluoro-N-(2-hydroxyethyl)-N- methyl-",yes,,,,
24934-91-6,Chlormephos,yes,,,,500
25154-52-3,Nonylphenol,yes,,,,
25154-54-5,Dinitrobenzene (mixed isomers),yes,100,,,
25154-55-6,Nitrophenol (mixed isomers),yes,100,,,
25155-23-1,Tris(dimethylphenol) phosphate,yes,,,,
25155-30-0,Sodium dodecylbenzenesulfonate,yes,1000,,,
25167-67-3,Butene,yes,,,,
25167-82-2,Trichlorophenol,yes,10,,,
25167-83-3,Trichlorophenol,yes,,,,
25168-15-4,"2,4,5-T esters",yes,1000,,,
25168-26-7,"2,4-D Esters",yes,100,,,
25268-77-3,2- [[(Heptadecafluorooctyl)sulfonyl]methyla mino]ethyl acrylate,yes,,,,
25311-71-1,Isofenphos,yes,,,,
25321-14-6,Dinitrotoluene (mixed isomers),yes,10,,,
25321-22-6,Dichlorobenzene,yes,100,,,
25376-45-8,Diaminotoluene (mixed isomers),yes,10,U221,,
25550-58-7,Dinitrophenol,yes,10,,,
25637-99-4,Hexabromocyclododecane,yes,,,,
26002-80-2,Phenothrin,yes,,,,
26027-38-3,"Poly(oxy-1,2-ethanediyl), α-(4- nonylphenyl)-ω-hydroxy-",yes,,,,
26264-06-2,Calcium dodecylbenzenesulfonate,yes,1000,,,
26419-73-8,"Carbamic acid, methyl-, O-(((2,4- dimethyl-1,3-dithiolan-2- yl)methylene)amino)-",yes,100,P185,,100
26471-62-5,Toluene diisocyanate (mixed),yes,100,U223,,500
26543-97-5,4-Isononylphenol,yes,,,,
26571-11-9,"3,6,9,12,15,18,21,24- Octaoxahexacosan-1-ol, 26- (nonylphenoxy)-",yes,,,,
26628-22-8,Sodium azide (Na(N3)),yes,1000,P105,,500
26638-19-7,Dichloropropane,yes,1000,,,
26644-46-2,Triforine,yes,,,,
26952-23-8,Dichloropropene,yes,1,U061,,
27137-85-5,Trichloro(dichlorophenyl)silane,yes,,,,500
27176-87-0,Dodecylbenzenesulfonic acid,yes,1000,,,
27176-93-8,"Ethanol, 2-[2-(nonylphenoxy)ethoxy]-",yes,,,,
27177-05-5,"3,6,9,12,15,18,21-Heptaoxatricosan-1- ol, 23-(nonylphenoxy)-",yes,,,,
27177-08-8,"3,6,9,12,15,18,21,24,27- Nonaoxanonacosan-1-ol, 29- (nonylphenoxy)-",yes,,,,
27314-13-2,Norflurazon,yes,,,,
27323-41-7,Triethanolamine dodecylbenzene sulfonate,yes,1000,,,
27619-90-5,"1-Decanesulfonyl chloride, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10- heptadecafluoro-",yes,,,,
27619-91-6,"1-Dodecanesulfonyl chloride, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11, 12,12,12-heneicosafluoro-",yes,,,,
27619-94-9,6:2 Fluorotelomer sulfonate sodium salt,yes,,,,
27619-97-2,6:2 Fluorotelomer sulfonate acid,yes,,,,
27774-13-6,Vanadyl sulfate,yes,1000,,,
27905-45-9,"1,1,2,2-Tetrahydroperfluorodecyl acrylate",yes,,,,
27986-36-3,"Ethanol, 2-(nonylphenoxy)-",yes,,,,
28249-77-6,Thiobencarb,yes,,U238,,
28300-74-5,Antimony potassium tartrate,yes,100,,,
28347-13-9,Xylylene dichloride,yes,,,,100
28407-37-6,C.I. Direct Blue 218,yes,,,,
28434-00-6,d-trans-Allethrin,yes,,P098,,
28553-12-0,Diisononyl phthalate,yes,,,,
28772-56-7,Bromadiolone,yes,,,,100
29081-56-9,"1-Octanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8- heptadecafluoro-, ammonium salt",yes,,,,
29082-74-4,Octachlorostyrene,yes,,,,
29117-08-6,"Poly(oxy-1,2-ethanediyl), α-[2- [ethyl[(heptadecafluorooctyl)sulfonyl]am ino]ethyl]-ω-hydroxy-",yes,,,,
29232-93-7,Pirimiphos-methyl,yes,,,,500
29420-49-3,Potassium perfluorobutane sulfonate,yes,,,,
29457-72-5,Lithium (perfluorooctane)sulfonate,yes,,,,
30046-31-2,"Tetradecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10, 10,11,11,12,12-pentacosafluoro-14- iodo-",yes,,,,
30525-89-4,Paraformaldehyde,yes,1000,,,
30558-43-1,"Ethanimidothioic acid, 2- (dimethylamino)-N-hydroxy-2-oxo-, methyl ester",yes,5000,U394,,
30560-19-1,Acephate,yes,,,,
30674-80-7,Methacryloyloxyethyl isocyanate,yes,,,,100
31218-83-4,Propetamphos,yes,,,,
31506-32-8,"1-Octanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8- heptadecafluoro-N-methyl-",yes,,,,
32534-95-5,"2,4,5-TP esters",yes,100000,,,
33089-61-1,Amitraz,yes,,P089,,
33213-65-9,beta - Endosulfan,yes,1,,,
34014-18-1,Tebuthiuron,yes,,,,
34077-87-7,Dichlorotrifluoroethane,yes,,,,
34362-49-7,"1,1,2,2-Tetrahydroperfluorohexadecyl acrylate",yes,,,,
34395-24-9,"1,1,2,2-Tetrahydroperfluorotetradecyl acrylate",yes,,,,
35367-38-5,Diflubenzuron,yes,,,,
35400-43-2,Sulprofos,yes,,,,
35554-44-0,Imazalil,yes,,,,
35691-65-7,"1-Bromo-1-(bromomethyl)-1,3- propanedicarbonitrile",yes,,,,
35822-46-9,"1,2,3,4,6,7,8-heptachlorodibenzo-p- dioxin",yes,,,,
36478-76-9,Uranyl nitrate,yes,100,,,
37205-87-1,"Poly(oxy-1,2-ethanediyl), α- (isononylphenyl)-ω-hydroxy-",yes,,,,
37211-05-5,Nickel chloride,yes,100,,,
37338-48-0,"Poly[oxy(methyl-1,2-ethanediyl)], α-[2- [ethyl[(heptadecafluorooctyl)sulfonyl]am ino]ethyl]-ω-hydroxy-",yes,,,,
38006-74-5,"1-Propanaminium, 3- [[(heptadecafluorooctyl)sulfonyl]amino]- N,N,N- trimethyl-, chloride",yes,,,,
38622-18-3,Diphenylhydrazine,yes,,,,
38661-72-2,"1,3-Bis(methylisocyanate)cyclohexane",yes,,,,
38727-55-8,Diethatyl ethyl,yes,,,,
39001-02-0,"1,2,3,4,6,7,8,9-octachlorodibenzofuran",yes,,,,
39156-41-7,"2,4-Diaminoanisole sulfate",yes,,,,
39196-18-4,Thiofanox,yes,100,P045,,1000
39227-28-6,"1,2,3,4,7,8-hexachlorodibenzo-p-dioxin",yes,,,,
39239-77-5,"1-Tetradecanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11, 12,12,13,13,14,14,14-pentacosafluoro-",yes,,,,
39300-45-3,Dinocap,yes,,,,
39515-41-8,Fenpropathrin,yes,,,,
40321-76-4,"1,2,3,7,8-pentachlorodibenzo-p-dioxin",yes,,,,
40487-42-1,Pendimethalin,yes,,,,
41198-08-7,Profenofos,yes,,,,
41766-75-0,"3,3'-Dimethylbenzidine dihydrofluoride",yes,,,,
42397-64-8,"1,6-Dinitropyrene",yes,,,,
42397-65-9,"1,8-Dinitropyrene",yes,,,,
42504-46-1,Isopropanolamine dodecylbenzene sulfonate,yes,1000,,,
42874-03-3,Oxyfluorfen,yes,,,,
43121-43-3,Triadimefon,yes,,,,
45048-62-2,Perfluorobutanoate,yes,,,,
45187-15-3,Perfluorobutanesulfonate,yes,,,,
50471-44-8,Vinclozolin,yes,,,,
50782-69-9,"Phosphonothioic acid, methyl-, S-(2- (bis(1-methylethyl)amino)ethyl) O-ethyl ester",yes,,,,100
51207-31-9,"2,3,7,8-Tetrachlorodibenzofuran",yes,,P037,,
51235-04-2,Hexazinone,yes,,,,
51338-27-3,Diclofop methyl,yes,,,,
51630-58-1,Fenvalerate,yes,,,,
51938-25-1,"Poly(oxy-1,2-ethanediyl), α-(2- nonylphenyl)-ω-hydroxy-",yes,,,,
52166-82-2,"1-Propanaminium, N,N,N-trimethyl-3- [[(tridecafluorohexyl)sulfonyl]amino]-, chloride",yes,,,,
52628-25-8,Zinc ammonium chloride,yes,5001,,,
52645-53-1,Permethrin,yes,,,,
52740-16-6,Calcium arsenite,yes,10,U219,,
52888-80-9,"Carbamothioic acid, dipropyl-, S- (phenylmethyl) ester",yes,5000,U387,,
53404-19-6,"Bromacil, lithium salt",yes,,,,
53404-37-8,"2,4-D 2-ethyl-4-methylpentyl ester",yes,,,,
53404-60-7,"Dazomet, sodium salt",yes,,,,
53467-11-1,"2,4-D Esters",yes,100,,,
53469-21-9,Aroclor 1242,yes,1,,,
53558-25-1,Pyriminil,yes,,,,100
55285-14-8,Carbosulfan,yes,1000,P189,,
55290-64-7,Dimethipin,yes,,,,
55406-53-6,3-Iodo-2-propynyl butylcarbamate,yes,,,,
55488-87-4,Ferric ammonium oxalate,yes,1000,U123,,
55671-32-4,Cupric oxalate,yes,100,,,
55673-89-7,"1,2,3,4,7,8,9-heptachlorodibenzofuran",yes,,,,
